	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	induced	notinduced	metlin	033110EL06_O3.mzdata	033110EL09_O2.mzdata	033110EL19_O1.mzdata	033110EL04_WT1.mzdata	033110EL15_WT2.mzdata	033110EL22_WT3.mzdata
4694	M799T352	1.21243971668560	0.807140564153279	0.488006316915965	798.52418738002	798.522869826967	798.524673898338	352.386163099638	351.962730074389	355.408835263232	3	1	2	http://metlin.scripps.edu/metabo_list.php?mass_min=797.5212&mass_max=797.5272	135595.559541772	52920.1470055214	119592.211823044	105576.196813151	133587.768050814	134398.312393555
4695	M659T330	1.35560573594366	-0.810869715560342	0.488296478196108	658.531361471368	658.527501210959	658.532596741449	329.792191078297	329.205868522959	330.301267174406	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=657.5284&mass_max=657.5344	338144.492183685	302560.822690993	233774.282355652	391581.175530523	148755.374941406	104747.469198134
4696	M803T396	1.99727688367732	-0.763330174963896	0.488520635681461	802.584910165022	802.582924899322	802.587393611218	395.504319764302	388.509963523397	402.726040386133	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=801.5819&mass_max=801.5879	22930.2867972238	26326.6153224401	363.832230222876	22519.1609337439	1251.80697452131	1073.22608176712
4697	M703T231	1.6861716832675	-0.766294836422876	0.488626560203915	702.56763192548	702.557040963673	702.570898087507	231.115790300464	225.023838051197	233.652022765294	7	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=701.5646&mass_max=701.5706	4250192.01374817	3654288.5650177	1070482.71165478	4273530.19143516	350700.818054199	698455.511392525
4698	M921T1404	1.96839662791432	0.84057785258584	0.488631133500053	920.663486605114	920.659951709848	920.682760921425	1403.99287390513	1400.12708303010	1410.86194014958	4	3	1	http://metlin.scripps.edu/metabo_list.php?mass_min=919.6605&mass_max=919.6665	3057.51113630021	3318.7378245849	3766.87528582758	775.343649501686	14006.3426442465	5184.00526999705
4699	M592T1468	1.25188701785904	0.772731642585642	0.488762892563787	591.518963120899	591.517320702341	591.521485067045	1467.72956830037	1467.06870246681	1474.56834626136	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=590.516&mass_max=590.522	10490.0770387124	29175.1760424804	29148.9530634182	33355.7171448159	32342.4564702382	20449.4377016602
4700	M2552T1334	1.18681171132723	0.777124840205808	0.489016868820705	2551.88957764892	2551.87058334760	2551.90097680831	1333.57569258503	1332.07723609507	1335.30915749869	4	3	1	http://metlin.scripps.edu/metabo_list.php?mass_min=2550.8866&mass_max=2550.8926	3317.33136676441	2009.95156677245	1750.73885742186	3388.45183186975	2489.42122395301	2522.40609871636
4701	M563T300	1.43521779996486	0.829045481730246	0.489145452018632	563.423334157505	563.397075273599	563.428887211294	300.271531317042	297.378338931274	312.935183464430	4	3	1	http://metlin.scripps.edu/metabo_list.php?mass_min=562.4203&mass_max=562.4263	11341.2073713684	15901.6559134744	13225.2232696533	29031.9929040772	5862.31990966796	23186.2053397862
4702	M823T998	1.65963881611287	-0.762720720942631	0.489510001114776	822.558086004853	822.543929542466	822.560821693551	998.049585653449	985.764955581028	998.335927481327	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=821.5551&mass_max=821.5611	31943.1409715519	15343.3657068834	7177.2998746277	23007.5027326766	4889.72214074186	4919.43741737183
4703	M1448T1268	1.26788183846266	-0.759107107643641	0.490071046556999	1448.01757924004	1448.01635173831	1448.02054131806	1267.55099932805	1263.15517491310	1272.73847160107	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1447.0146&mass_max=1447.0206	471239.85192785	229410.788294125	355979.886932072	141828.632421765	327493.98890468	364059.871505252
4704	M1586T1360	1.06995236034901	-0.773287435277189	0.490206963171363	1586.1164543623	1586.11461808522	1586.11820518176	1360.22542390952	1358.97032917457	1360.39104053391	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1585.1135&mass_max=1585.1195	22341.6550465622	17657.0788939685	21779.7782758166	20968.2465723039	17813.2614249965	18957.9900455802
4705	M736T275	1.47555533097087	-0.778009663345261	0.490256939281237	735.55732364347	735.552768447535	735.559273139048	275.397032877514	273.985331992820	278.698180824497	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=734.5543&mass_max=734.5603	1060359.66752646	704489.647377015	525457.327766243	1066096.78931791	233087.868264898	252981.225049848
4706	M1400T1243	1.15252080079058	0.834819433896934	0.490297185576966	1399.96562614160	1399.96317169751	1399.96757077345	1243.49454747375	1229.07714818045	1245.64002769541	5	2	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1398.9626&mass_max=1398.9686	250490.116334509	236686.488673406	239583.87239968	367295.418595588	237004.604477498	233306.544331657
4707	M680T56	1.42101040692963	-0.829600795427548	0.490386219134221	680.480249383475	680.479114853963	680.480935974622	56.1328607537195	51.2945710857732	57.487256409057	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=679.4772&mass_max=679.4832	1686767.69138594	1697445.37681848	1423348.52062365	1759924.2984941	1623275.12452473	0
4708	M1436T1315	1.17732034933954	0.816018066954577	0.490430947555349	1435.99491035425	1435.99071214661	1435.99511743751	1314.91267041114	1314.71817157075	1318.58014368103	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=1434.9919&mass_max=1434.9979	103113.818451605	92606.8243084326	113050.148067064	79502.7982184965	151691.306600442	132328.030503471
4709	M664T291	1.33710867823406	-0.773677899230075	0.490443348886584	664.475619634397	664.466958453076	664.47702849205	291.314211394336	290.32913809875	293.017857546850	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=663.4726&mass_max=663.4786	414324.336623437	419926.917501563	234757.939928027	463862.768075285	179743.732225979	155886.62352236
4710	M2412T1303_2	1.14787279518596	0.759458050089086	0.490529713737012	2412.19869143959	2412.18317781175	2412.20399530912	1302.78021116239	1298.36114359843	1306.71760003993	5	2	3	http://metlin.scripps.edu/metabo_list.php?mass_min=2411.1957&mass_max=2411.2017	2509.79753860474	3838.27131090972	2561.89120305441	3294.52855348539	4120.13242935627	2812.83976769584
4711	M982T356	1.31730582084836	-0.759857878263246	0.490565722122919	981.595787064724	981.576614819474	981.601605537712	356.069663586422	347.482710548891	360.26580453526	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=980.5928&mass_max=980.5988	80231.657677525	33315.0415782582	55485.1217527174	65689.785478125	34818.6376484375	27807.8860655146
4712	M355T242	1.25118287329977	0.813029027381611	0.490761003865275	355.2585909856	355.253732028915	355.263571523261	242.028680991196	238.866732767402	253.466635726292	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=354.2556&mass_max=354.2616	39954.4655308949	12327.0918098397	28902.5697769657	38196.4298034668	33180.9351790365	30198.8244509548
4713	M769T335	1.27509463022217	0.77120479539988	0.490936349355032	768.500578717717	768.481590768035	768.509212910845	335.164308255691	328.047002547069	356.736205403041	6	2	2	http://metlin.scripps.edu/metabo_list.php?mass_min=767.4976&mass_max=767.5036	41808.5357147069	16561.2713718133	20128.8266345215	43210.778499675	27046.1777193936	29836.2301184082
4714	M686T376	2.39327807572622	0.831601685214871	0.491104566775974	685.555595329373	685.547775224756	685.561408646598	376.007375330805	368.353572766268	380.773126126748	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=684.5526&mass_max=684.5586	17382.3412238421	17019.3600811298	29617.3332543945	178.562420935716	119422.705675175	33614.0837439796
4715	M266T1805	1.63228176038468	-0.813987404653337	0.491223408820092	266.123885944992	266.123634201213	266.124389582396	1804.66344375707	1795.71704765868	1810.10040973096	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=265.1209&mass_max=265.1269	4690492.90497427	990767.59626953	1719268.46547608	2113876.26664235	1354214.57355748	1065764.24923999
4716	M590T450	1.24357891354636	0.7588924200039	0.49145327363026	590.427302679913	590.427019118324	590.427605197897	450.432068924439	429.525872101089	457.108785451914	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=589.4243&mass_max=589.4303	1484607.58177433	1263540.12305239	2704394.56668666	1993713.53306641	2998062.30790302	1788890.75310477
4717	M1381T1223	1.24077033480526	-0.772136026471223	0.491567624082063	1380.98961770507	1380.98712231657	1380.99109271708	1222.95571438459	1220.52406734043	1233.34115142428	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1379.9866&mass_max=1379.9926	263594.733094499	244216.297091806	167392.340070928	84720.8573740933	229379.895952786	230080.028012647
4718	M149T334	1.13503644146289	0.789878050823454	0.491601660954234	149.081425332730	149.081003569481	149.082010580659	334.377930513287	332.71055306876	335.338601284363	4	2	2	http://metlin.scripps.edu/metabo_list.php?mass_min=148.0784&mass_max=148.0844	85699.2197265624	101703.398561448	81068.4029605888	125335.520042724	102403.966363636	76984.9061875573
4719	M567T244	1.13766896205151	-0.76947445287749	0.49161494863598	567.402087304169	567.382196944782	567.421977663557	243.969828276019	240.978084812868	246.961571739170	2	0	2	http://metlin.scripps.edu/metabo_list.php?mass_min=566.3991&mass_max=566.4051	11090.1052741868	10760.6390116857	7097.29694260571	6850.22082408559	9284.89008590382	9309.93698538208
4720	M251T271	1.24438905045212	0.770011511028884	0.491796363052994	251.168530607156	251.165732882537	251.171456991994	270.962078594329	270.092180489216	271.478369195501	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=250.1655&mass_max=250.1715	58978.8316608257	97859.4628281948	38205.8300788071	89472.0586181641	59145.5519030761	94093.1624459838
4721	M1691T1403	1.07265530721884	-0.764835397361309	0.49194470512644	1691.12203720173	1691.12054480726	1691.12464386675	1403.20253096795	1402.21896817458	1403.53619641303	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1690.119&mass_max=1690.125	234563.162858538	198500.121886962	208282.70890019	220587.291501945	208349.08458728	168968.644591239
4722	M2391T1328	1.40517737022875	0.765684764311564	0.492008942333407	2390.70370528199	2390.69819774854	2390.70867238979	1328.02658412831	1326.99855311797	1332.55887898407	3	1	2	http://metlin.scripps.edu/metabo_list.php?mass_min=2389.7007&mass_max=2389.7067	3776.16792569392	5757.74195322913	1855.29508945546	5587.27653937446	8080.93213577195	2335.64441131592
4723	M452T292	1.29262635394059	0.79856595128527	0.492354540627679	452.300215524711	452.296457300078	452.305172096057	292.150812500605	286.314223843191	293.435679648258	4	1	3	http://metlin.scripps.edu/metabo_list.php?mass_min=451.2972&mass_max=451.3032	18458.1110842896	24952.2497095435	16520.8208618394	13034.9577862338	27902.489199056	36531.1778456334
4724	M554T1353	1.10881098637078	-0.813465641216199	0.492472637569732	553.509547009067	553.508417290825	553.510769938564	1352.73277034999	1350.86387022237	1353.81018247585	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=552.5065&mass_max=552.5125	12811.0431562041	12717.0729187996	11638.4741720921	12194.0207362782	13006.7331600189	8318.5660815331
4725	M1194T1000	1.95664896802145	0.768938496673817	0.492588682228054	1194.08742809662	1194.08642055714	1194.08843563609	1000.25055702462	995.885172456331	1004.61594159292	2	0	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1193.0844&mass_max=1193.0904	3432.03103769821	17983.0469351405	68218.8804208599	1242.37662007219	63955.0257875978	110184.789783038
4726	M204T380	1.21326718496821	0.755519081945317	0.492839780297935	204.140646171959	204.133178080184	204.142255468731	380.320926298515	373.949565697734	400.655158767575	9	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=203.1376&mass_max=203.1436	47083.1712721605	104465.954240279	88985.879400956	86825.1991420202	126449.678114188	78558.3510413818
4727	M834T1421	1.10111329077299	0.794695704957298	0.492885897006612	833.518971815182	833.5182135936	833.520725326605	1421.06870662718	1420.84613315811	1423.18892940434	3	1	2	http://metlin.scripps.edu/metabo_list.php?mass_min=832.516&mass_max=832.522	38475.0415777048	36811.9966019433	32834.770344119	47311.7493137012	39196.4760906845	32546.1349835467
4728	M1156T1357	1.19743735011539	0.774073141664409	0.492911647761338	1155.77119332919	1155.76114512717	1155.77371198782	1356.54294726896	1352.75701749841	1365.17654364742	7	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1154.7682&mass_max=1154.7742	11984.5345196915	15178.0156840516	6598.14168121574	11986.7274090916	16281.4730997953	12158.1129199004
4729	M1074T230	1.26204822893281	0.80996301874324	0.493085749400088	1073.79989598294	1073.78148104688	1073.80526891627	230.460167893921	223.378324557642	235.555100927464	3	1	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1072.7969&mass_max=1072.8029	4636.60340711321	5861.38746956179	4505.08953126099	8057.7121980196	3200.74578108938	7676.15307826322
4730	M763T1396	1.30736819504325	-0.791344573509697	0.493187748116406	762.571343278208	762.560838165195	762.5800720841	1396.45986179808	1390.11476409877	1404.59801044348	8	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=761.5683&mass_max=761.5743	59845.5030697273	48258.2862586094	20253.8541758945	36965.9929101269	23061.8304915945	38152.3556716919
4731	M945T252	1.26702610113993	-0.753957448466374	0.493310953100474	944.627493148072	944.61103242762	944.67189584594	251.758938953985	227.220696311987	265.124398394297	7	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=943.6245&mass_max=943.6305	16204.9214524489	13677.4714453125	8191.44332742171	14049.9464240554	10961.4361112065	5038.38217828924
4732	M368T227	1.15515634143506	-0.773865203973001	0.493372409145165	368.279610281839	368.26969424362	368.291955250254	226.928692663547	210.504371212396	236.046639861857	11	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=367.2766&mass_max=367.2826	36246.3294658954	44712.2209570313	60696.722271908	35472.4911884765	38535.0936197916	48621.0738535156
4733	M826T991	3.95704190373431	0.829891030619159	0.493780449445076	825.566991295554	825.55424543845	825.568097447499	991.32808015163	986.764397903349	997.364065702252	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=824.564&mass_max=824.57	24660.872384167	19023.4582538311	26282.0375584793	258387.708451494	12471.0044911303	6001.13786294058
4734	M485T320	1.15288264333169	0.756786973735535	0.494137666127161	485.34779624464	485.339544637916	485.377690798538	320.469283806744	317.453672197319	332.432582508671	7	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=484.3448&mass_max=484.3508	23256.8783956473	15789.7158000183	17196.7366937856	24148.811054845	25086.7128289474	15606.4361018173
